Data,Hora,Liga,Time_Casa,Time_Visitante
01/01/2026,12:00,Championship,Preston,Sheffield Wed
01/01/2026,14:30,Championship,Sheffield Utd,Leicester
01/01/2026,14:30,Premier League,Liverpool,Leeds
01/01/2026,14:30,Premier League,Crystal Palace,Fulham
01/01/2026,17:00,Premier League,Sunderland,Man City
01/01/2026,17:00,Premier League,Brentford,Tottenham
02/01/2026,16:45,Serie A,Cagliari,Milan
02/01/2026,16:45,Ligue 1,Toulouse,Lens
02/01/2026,17:00,La Liga,Rayo Vallecano,Getafe
03/01/2026,08:30,Serie A,Como,Udinese
03/01/2026,09:30,Premier League,Aston Villa,Forest
03/01/2026,09:30,Scottish Premiership,Celtic,PaRrtaidnagsers Pesquisa Favoritos Perfil
03/01/2026,10:00,La Liga,Celta,Valencia
03/01/2026,11:00,Serie A,Sassuolo,Parma
03/01/2026,11:00,Serie A,Genoa,Pisa
03/01/2026,12:00,Premier League,Wolves,West Ham
03/01/2026,12:00,Premier League,Brighton,Burnley
03/01/2026,12:00,Scottish Premiership,Hearts,Livingston
03/01/2026,12:00,Scottish Premiership,Falkirk,Aberdeen
03/01/2026,12:00,Scottish Premiership,Kilmarnock,Hibernian
03/01/2026,12:00,Scottish Premiership,Dundee Utd,Dundee
03/01/2026,12:00,Scottish Premiership,Motherwell,St Mirren
03/01/2026,12:15,La Liga,Osasuna,Athletic Club
03/01/2026,13:00,Ligue 1,AS Monaco,Lyon
03/01/2026,14:00,Serie A,Juventus,Lecce
03/01/2026,14:30,Premier League,Bournemouth,Arsenal
03/01/2026,14:30,La Liga,Elche,Villarreal
03/01/2026,15:00,Ligue 1,Nice,Strasbourg
03/01/2026,16:45,Serie A,Atalanta,Roma
03/01/2026,17:00,La Liga,Espanyol,Barcelona
03/01/2026,17:05,Ligue 1,Lille,Rennes
04/01/2026,08:30,Serie A,Lazio,Napoli
04/01/2026,09:00,Championship,Sheffield Utd,Oxford Utd
04/01/2026,09:00,Championship,Birmingham,Coventry
04/01/2026,09:00,Championship,QPR,Sheffield Wed
04/01/2026,09:30,Premier League,Leeds,Man Utd
04/01/2026,10:00,La Liga,Sevilla,Levante
04/01/2026,11:00,Serie A,Fiorentina,Cremonese
04/01/2026,11:00,Ligue 1,Marseille,Nantes
04/01/2026,12:00,Championship,Middlesbrough,Southampton
04/01/2026,12:00,Championship,Portsmouth,Ipswich
04/01/2026,12:00,Championship,Derby,Wrexham
04/01/2026,12:00,Championship,Hull,Watford
04/01/2026,12:00,Championship,Norwich,Stoke
04/01/2026,12:00,Championship,Millwall,Swansea
04/01/2026,12:00,Championship,Bristol City,Preston
04/01/2026,12:00,Championship,Blackburn,Charlton
04/01/2026,12:00,Premier League,Fulham,Liverpool
04/01/2026,12:00,Premier League,Tottenham,Sunderland
04/01/2026,12:00,Premier League,Newcastle,Crystal Palace
04/01/2026,12:00,Premier League,Everton,Brentford
04/01/2026,12:15,La Liga,Real Madrid,Real Betis
04/01/2026,13:15,Ligue 1,Brest,Auxerre
04/01/2026,13:15,Ligue 1,Le Havre,Angers
04/01/2026,13:15,Ligue 1,Lorient,Metz
04/01/2026,14:00,Serie A,Verona,Torino
04/01/2026,14:30,Premier League,Man City,Chelsea
04/01/2026,14:30,La Liga,Mallorca,Girona
04/01/2026,14:30,La Liga,Alavés,Real Oviedo
04/01/2026,16:45,Serie A,Inter,Bologna
04/01/2026,16:45,Ligue 1,PSG,Paris
04/01/2026,17:00,La Liga,Real Sociedad,Atl. Madrid
05/01/2026,17:00,Championship,Leicester,West Brom
06/01/2026,11:00,Serie A,Pisa,Como
06/01/2026,14:00,Serie A,Lecce,Roma
06/01/2026,16:45,Serie A,Sassuolo,Juventus
06/01/2026,16:45,Scottish Premiership,Livingston,St Mirren
06/01/2026,17:00,Premier League,West Ham,Forest
06/01/2026,17:00,Scottish Premiership,Rangers,Aberdeen
07/01/2026,14:30,Serie A,Napoli,Verona
07/01/2026,14:30,Serie A,Bologna,Atalanta
07/01/2026,16:30,Premier League,Man City,Brighton
07/01/2026,16:30,Premier League,Fulham,Chelsea
07/01/2026,16:30,Premier League,Bournemouth,Tottenham
07/01/2026,16:30,Premier League,Crystal Palace,Aston Villa
07/01/2026,16:30,Premier League,Everton,Wolves
07/01/2026,16:30,Premier League,Brentford,Sunderland
07/01/2026,16:45,Serie A,Parma,Inter
07/01/2026,16:45,Serie A,Lazio,Fiorentina
07/01/2026,16:45,Serie A,Torino,Udinese
07/01/2026,17:15,Premier League,Burnley,Man Utd
07/01/2026,17:15,Premier League,Newcastle,Leeds
08/01/2026,14:30,Serie A,Cremonese,Cagliari
08/01/2026,16:45,Serie A,Milan,Genoa
08/01/2026,17:00,Premier League,Arsenal,Liverpool
09/01/2026,16:30,Bundesliga,Frankfurt,Dortmund
10/01/2026,11:00,Serie A,Como,Bologna
10/01/2026,11:00,Serie A,Udinese,Pisa
10/01/2026,11:30,Bundesliga,St. Pauli,Leipzig
10/01/2026,11:30,Bundesliga,Union Berlin,Mainz 05
10/01/2026,11:30,Bundesliga,Freiburg,HSV
10/01/2026,11:30,Bundesliga,Bremen,Hoffenheim
10/01/2026,11:30,Bundesliga,Heidenheim,Köln
10/01/2026,12:00,Scottish Premiership,Celtic,Dundee Utd
10/01/2026,12:00,Scottish Premiership,Hibernian,Motherwell
10/01/2026,12:00,Scottish Premiership,Livingston,Kilmarnock
10/01/2026,12:00,Scottish Premiership,St Mirren,Falkirk
10/01/2026,14:00,Serie A,Roma,Sassuolo
10/01/2026,14:30,Bundesliga,Leverkusen,Stuttgart
10/01/2026,16:45,Serie A,Atalanta,Torino
11/01/2026,08:30,Serie A,Lecce,Parma
11/01/2026,11:00,Serie A,Fiorentina,Milan
11/01/2026,11:00,Scottish Premiership,Dundee,Hearts
11/01/2026,11:30,Bundesliga,M'gladbach,Augsburg
11/01/2026,13:30,Bundesliga,Bayern,Wolfsburg
11/01/2026,13:30,Scottish Premiership,Aberdeen,Rangers
11/01/2026,14:00,Serie A,Verona Propaganda,Lazio
11/01/2026,16:00,La Liga,Real Oviedo,Real Betis
11/01/2026,16:00,La Liga,Sevilla,Celta
11/01/2026,16:00,La Liga,Getafe,Real Sociedad
11/01/2026,16:00,La Liga,Villarreal,Alavés
11/01/2026,16:00,La Liga,Girona,Osasuna
11/01/2026,16:00,La Liga,Valencia,Elche
11/01/2026,16:00,La Liga,Rayo Vallecano,Mallorca
11/01/2026,16:00,La Liga,Levante,Espanyol
11/01/2026,16:45,Serie A,Inter,Napoli
12/01/2026,14:30,Serie A,PaGrteidnaosa Pesquisa Favoritos Perfil,Cagliari
12/01/2026,16:45,Serie A,Juventus,Cremonese
13/01/2026,14:30,Bundesliga,Stuttgart,Frankfurt
13/01/2026,16:30,Bundesliga,Dortmund,Bremen
13/01/2026,16:30,Bundesliga,HSV,Leverkusen
13/01/2026,16:30,Bundesliga,Mainz 05,Heidenheim
14/01/2026,14:30,Serie A,Napoli,Parma
14/01/2026,14:30,Bundesliga,Wolfsburg,St. Pauli
14/01/2026,16:30,Bundesliga,Köln,Bayern
